,names,companies,car_births,car_types,car_prices_1,car_prices_2,fuel_efficiencies,fuels,images
90,2019 대창모터스 다니고 III 밴,대창,국산차,경형,1880.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20191205_204/auto_1575538804570mrRbG_PNG/20191205184002_lAGG5V1f.png?type=f160_116
91,2020 SMART EV D2C,SMART EV,국산차,경형,1980.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20191113_177/auto_1573612036056lVteC_PNG/20191113112615_FCgk7MJI.png?type=f160_116
92,2021 바이욘,현대,국산차,소형,16790.0,24790.0,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20210303_138/auto_1614742434064fmzHV_PNG/20210303123342_SMDL2ynT.png?type=f160_116
93,2020 프로씨드,기아,국산차,준중형,19558.0,23525.0,6.8~8.4ℓ/100km,가솔린,https://imgauto-phinf.pstatic.net/20200120_143/auto_1579490273991EHlzG_PNG/20200120121741_LtjIAj9o.png?type=f160_116
94,2021 i20 N,현대,국산차,소형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20201021_107/auto_1603239876247r8sYU_PNG/20201021092422_137RRlDG.png?type=f160_116
95,2021 투싼 플러그인 하이브리드,현대,국산차,준중형,39330.0,,정보없음,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210315_164/auto_1615773175574rGn1u_PNG/20210315105215_yKDHDUJP.png?type=f160_116
96,2020 i30 왜건,현대,국산차,준중형,,,정보없음,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200226_214/auto_1582687759202XxEL8_PNG/20200226122903_lCl9Vdtw.png?type=f160_116
97,2020 씨드 SW 플러그인 하이브리드,기아,국산차,준중형,24454.0,,정보없음,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20200120_274/auto_1579489502048eS0Fh_PNG/20200120120443_CdVIvNO2.png?type=f160_116
98,2020 i30 패스트백,현대,국산차,준중형,,,정보없음,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200226_215/auto_1582688173538x6V7y_PNG/20200226123555_ApWTYe03.png?type=f160_116
99,2020 X씨드 플러그인 하이브리드,기아,국산차,준중형,25037.0,28370.0,정보없음,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20200120_136/auto_1579486018414tGbqI_PNG/20200120110636_72nxBSgb.png?type=f160_116
100,2019 대창모터스 다니고 III 밴,대창,국산차,경형,1880.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20191205_204/auto_1575538804570mrRbG_PNG/20191205184002_lAGG5V1f.png?type=f160_116
101,2020 SMART EV D2C,SMART EV,국산차,경형,1980.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20191113_177/auto_1573612036056lVteC_PNG/20191113112615_FCgk7MJI.png?type=f160_116
102,2021 바이욘,현대,국산차,소형,16790.0,24790.0,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20210303_138/auto_1614742434064fmzHV_PNG/20210303123342_SMDL2ynT.png?type=f160_116
103,2020 프로씨드,기아,국산차,준중형,19558.0,23525.0,6.8~8.4ℓ/100km,가솔린,https://imgauto-phinf.pstatic.net/20200120_143/auto_1579490273991EHlzG_PNG/20200120121741_LtjIAj9o.png?type=f160_116
104,2021 i20 N,현대,국산차,소형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20201021_107/auto_1603239876247r8sYU_PNG/20201021092422_137RRlDG.png?type=f160_116
105,2021 투싼 플러그인 하이브리드,현대,국산차,준중형,39330.0,,정보없음,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210315_164/auto_1615773175574rGn1u_PNG/20210315105215_yKDHDUJP.png?type=f160_116
106,2020 i30 왜건,현대,국산차,준중형,,,정보없음,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200226_214/auto_1582687759202XxEL8_PNG/20200226122903_lCl9Vdtw.png?type=f160_116
107,2020 씨드 SW 플러그인 하이브리드,기아,국산차,준중형,24454.0,,정보없음,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20200120_274/auto_1579489502048eS0Fh_PNG/20200120120443_CdVIvNO2.png?type=f160_116
108,2020 i30 패스트백,현대,국산차,준중형,,,정보없음,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200226_215/auto_1582688173538x6V7y_PNG/20200226123555_ApWTYe03.png?type=f160_116
109,2020 X씨드 플러그인 하이브리드,기아,국산차,준중형,25037.0,28370.0,정보없음,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20200120_136/auto_1579486018414tGbqI_PNG/20200120110636_72nxBSgb.png?type=f160_116
110,2019 대창모터스 다니고 III 밴,대창,국산차,경형,1880.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20191205_204/auto_1575538804570mrRbG_PNG/20191205184002_lAGG5V1f.png?type=f160_116
